TransactionID,TransactionDate,CustomerID,CustomerName,Gender,Age,City,State,ProductName,Category,SubCategory,Quantity,Price,PaymentMode,OrderStatus
TXN100023,2025/07/07,CUST1023,Miraya Kaul,Male,37,Kolkata,West Bengal,Wooden Table,Furniture,Table,5,12000,Cash,Returned
TXN100024,2025/01/10,CUST1348,Ayesha Iyer,Male,37,Delhi,Delhi,Nike Shoes,Fashion,Footwear,5,4500,Debit Card,Delivered
TXN100025,15-07-2025,CUST1705,Taimur Sama,Male,20,Hyderabad,Telangana,Wooden Table,Furniture,Table,5,12000,UPI,Cancelled
TXN100026,26-12-2025,CUST1385,Renee Ratti,Male,45,Hyderabad,Telangana,HP Laptop,Electronics,Laptop,3,72000,UPI,Returned
TXN100027,06-11-2025,CUST1603,Vedika Raja,Male,37,Delhi,Delhi,Adidas T-Shirt,Fashion,Clothing,5,1800,UPI,Delivered
TXN100028,2025/02/05,CUST1146,Reyansh Vyas,Male,37,Chennai,Tamil Nadu,Samsung Galaxy S22,Electronics,Mobile,1,58000,Credit Card,Cancelled
TXN100029,2025/01/21,CUST1503,Amani Sen,Male,49,Chennai,Tamil Nadu,Wooden Table,Furniture,Table,3,12000,Cash,Returned
TXN100030,2025/12/19,CUST1668,Kartik Bala,Male,19,Kolkata,West Bengal,HP Laptop,Electronics,Laptop,4,72000,Cash,Cancelled
TXN100031,2025/09/14,CUST1866,Badal Kade,Female,36,Pune,Maharashtra,Sony Headphones,Electronics,Accessories,1,5000,Debit Card,Delivered
TXN100032,2025/03/13,CUST1810,Sana Aurora,Male,60,Bengaluru,Karnataka,Sony Headphones,Electronics,Accessories,5,5000,Cash,Returned
TXN100033,20-05-2025,CUST1382,Rati Rana,Female,56,Kolkata,West Bengal,Adidas T-Shirt,Fashion,Clothing,5,1800,UPI,Cancelled
TXN100034,20-06-2025,CUST1350,Jayesh Sant,Male,57,Kolkata,West Bengal,Adidas T-Shirt,Fashion,Clothing,2,1800,Credit Card,Returned
TXN100035,27-10-2025,CUST1287,Vritika Ramachandran,Female,35,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,2,4500,UPI,Cancelled
TXN100036,2025/06/08,CUST1115,Ayesha Tiwari,Male,36,Pune,Maharashtra,Nike Shoes,Fashion,Footwear,1,4500,Debit Card,Returned
TXN100037,2025/12/23,CUST1458,Yashvi Din,Male,53,Pune,Maharashtra,Samsung Galaxy S22,Electronics,Mobile,2,58000,UPI,Returned
TXN100038,29-05-2025,CUST1012,Zara Keer,Male,23,Delhi,Delhi,iPhone 14,Electronics,Mobile,2,65000,Credit Card,Returned
TXN100039,03-12-2025,CUST1363,Arhaan Gade,Male,51,Bengaluru,Karnataka,iPhone 14,Electronics,Mobile,5,65000,Credit Card,Delivered
TXN100040,30-01-2025,CUST1019,Anahita D’Alia,Female,46,Pune,Maharashtra,Nike Shoes,Fashion,Footwear,1,4500,Cash,Delivered
TXN100041,17-09-2025,CUST1745,Prerak Sarin,Male,49,Mumbai,Maharashtra,Nike Shoes,Fashion,Footwear,2,4500,Cash,Delivered
TXN100042,15-02-2025,CUST1902,Tushar Varkey,Male,52,Pune,Maharashtra,Nike Shoes,Fashion,Footwear,5,4500,Debit Card,Cancelled
TXN100043,2025/06/10,CUST1428,Mohanlal Sastry,Female,20,Pune,Maharashtra,Adidas T-Shirt,Fashion,Clothing,4,1800,Debit Card,Delivered
TXN100044,2025/09/24,CUST1641,Indranil Gulati,Male,58,Chennai,Tamil Nadu,Nike Shoes,Fashion,Footwear,2,4500,UPI,Cancelled
TXN100045,08-08-2025,CUST1215,Shray Shere,Male,31,Mumbai,Maharashtra,HP Laptop,Electronics,Laptop,3,72000,Debit Card,Returned
TXN100046,19-07-2025,CUST1407,Mehul Ganesan,Female,58,Mumbai,Maharashtra,Samsung Galaxy S22,Electronics,Mobile,5,58000,Debit Card,Returned
TXN100047,2025/08/20,CUST1846,Rhea Kala,Female,49,Pune,Maharashtra,HP Laptop,Electronics,Laptop,1,72000,UPI,Delivered
TXN100048,10-04-2025,CUST1542,Nirvi Borde,Female,58,Chennai,Tamil Nadu,Wooden Table,Furniture,Table,2,12000,UPI,Returned
TXN100049,2025/10/29,CUST1361,Misha Vora,Male,51,Chennai,Tamil Nadu,Samsung Galaxy S22,Electronics,Mobile,5,58000,Credit Card,Cancelled
TXN100050,18-11-2025,CUST1318,Krish Wason,Male,37,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,5,4500,Cash,Delivered
TXN100051,15-07-2025,CUST1899,Umang Hayer,Female,44,Hyderabad,Telangana,iPhone 14,Electronics,Mobile,4,65000,Credit Card,Returned
TXN100052,23-11-2025,CUST1438,Kavya Chander,Female,34,Chennai,Tamil Nadu,Nike Shoes,Fashion,Footwear,2,4500,Cash,Cancelled
TXN100053,2025/10/15,CUST1201,Zaina Malhotra,Male,34,Kolkata,West Bengal,Nike Shoes,Fashion,Footwear,4,4500,UPI,Returned
TXN100054,2025/02/26,CUST1591,Sahil Karan,Male,31,Bengaluru,Karnataka,Samsung Galaxy S22,Electronics,Mobile,2,58000,Debit Card,Returned
TXN100055,2025/04/05,CUST1674,Shayak Kibe,Male,51,Hyderabad,Telangana,Sony Headphones,Electronics,Accessories,3,5000,Credit Card,Delivered
TXN100056,2025/07/10,CUST1539,Badal Dhar,Male,53,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,5,4500,Credit Card,Cancelled
TXN100057,04-04-2025,CUST1167,Abram Balakrishnan,Male,57,Pune,Maharashtra,iPhone 14,Electronics,Mobile,5,65000,Credit Card,Cancelled
TXN100058,19-06-2025,CUST1591,Miraya Bir,Female,20,Kolkata,West Bengal,Adidas T-Shirt,Fashion,Clothing,5,1800,Credit Card,Delivered
TXN100059,2025/07/21,CUST1626,Lakshay Bhasin,Female,55,Mumbai,Maharashtra,Wooden Table,Furniture,Table,3,12000,UPI,Delivered
TXN100060,09-01-2025,CUST1387,Yasmin Buch,Male,54,Hyderabad,Telangana,Wooden Table,Furniture,Table,1,12000,Credit Card,Returned
TXN100061,28-07-2025,CUST1235,Priyansh Choudhury,Male,50,Bengaluru,Karnataka,Adidas T-Shirt,Fashion,Clothing,3,1800,Credit Card,Delivered
TXN100062,2025/12/01,CUST1196,Jayan Sabharwal,Female,53,Bengaluru,Karnataka,iPhone 14,Electronics,Mobile,5,65000,Credit Card,Returned
TXN100063,25-07-2025,CUST1215,Aarav Jani,Male,40,Hyderabad,Telangana,Samsung Galaxy S22,Electronics,Mobile,5,58000,Debit Card,Returned
TXN100064,24-09-2025,CUST1184,Charvi Toor,Female,29,Pune,Maharashtra,Wooden Table,Furniture,Table,4,12000,Cash,Returned
TXN100065,2025/03/01,CUST1920,Hiran Borah,Male,28,Pune,Maharashtra,HP Laptop,Electronics,Laptop,3,72000,Credit Card,Cancelled
TXN100066,03-05-2025,CUST1537,Ryan Gokhale,Male,60,Hyderabad,Telangana,Nike Shoes,Fashion,Footwear,4,4500,Debit Card,Delivered
TXN100067,2025/06/17,CUST1483,Zain Korpal,Female,51,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,1,4500,Cash,Delivered
TXN100068,2025/12/28,CUST1641,Inaaya  Konda,Male,26,Delhi,Delhi,Adidas T-Shirt,Fashion,Clothing,3,1800,Credit Card,Delivered
TXN100069,2025/01/26,CUST1846,Ivana Mani,Male,24,Hyderabad,Telangana,Wooden Table,Furniture,Table,3,12000,Cash,Returned
TXN100070,12-12-2025,CUST1580,Vanya Aurora,Female,20,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,4,4500,UPI,Cancelled
TXN100071,30-01-2025,CUST1029,Anya Karnik,Female,27,Delhi,Delhi,Wooden Table,Furniture,Table,2,12000,Debit Card,Delivered
TXN100072,10-11-2025,CUST1362,Hiran Dara,Male,23,Kolkata,West Bengal,iPhone 14,Electronics,Mobile,5,65000,Debit Card,Delivered
TXN100073,08-10-2025,CUST1060,Ehsaan Tak,Male,51,Kolkata,West Bengal,Wooden Table,Furniture,Table,1,12000,Cash,Delivered
TXN100074,2025/11/06,CUST1211,Shaan Golla,Male,34,Chennai,Tamil Nadu,Samsung Galaxy S22,Electronics,Mobile,2,58000,Credit Card,Returned
TXN100075,11-02-2025,CUST1679,Sumer Sule,Female,29,Pune,Maharashtra,Samsung Galaxy S22,Electronics,Mobile,4,58000,UPI,Returned
TXN100076,2025/04/29,CUST1476,Siya Sagar,Female,55,Mumbai,Maharashtra,HP Laptop,Electronics,Laptop,3,72000,Credit Card,Delivered
TXN100077,2025/08/26,CUST1741,Nitara Sagar,Male,49,Mumbai,Maharashtra,Wooden Table,Furniture,Table,3,12000,Cash,Delivered
TXN100078,26-10-2025,CUST1070,Dharmajan Choudhry,Male,29,Bengaluru,Karnataka,Wooden Table,Furniture,Table,2,12000,Credit Card,Cancelled
TXN100079,03-04-2025,CUST1400,Ryan Dey,Male,24,Delhi,Delhi,Wooden Table,Furniture,Table,5,12000,Debit Card,Cancelled
TXN100080,01-12-2025,CUST1502,Jayan Yohannan,Male,31,Pune,Maharashtra,iPhone 14,Electronics,Mobile,5,65000,Credit Card,Delivered
TXN100081,20-12-2025,CUST1225,Aarna Dash,Female,22,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,5,4500,Cash,Cancelled
TXN100082,28-11-2025,CUST1469,Damini Kulkarni,Female,52,Delhi,Delhi,HP Laptop,Electronics,Laptop,3,72000,Credit Card,Delivered
TXN100083,27-08-2025,CUST1651,Manjari Suri,Male,18,Hyderabad,Telangana,Wooden Table,Furniture,Table,2,12000,Credit Card,Cancelled
TXN100084,2025/08/02,CUST1427,Shanaya Sem,Male,59,Bengaluru,Karnataka,HP Laptop,Electronics,Laptop,2,72000,Debit Card,Returned
TXN100085,2025/04/08,CUST1446,Gatik Chandran,Female,30,Hyderabad,Telangana,Samsung Galaxy S22,Electronics,Mobile,1,58000,Cash,Returned
TXN100086,10-04-2025,CUST1411,Mishti Kalla,Male,42,Delhi,Delhi,Nike Shoes,Fashion,Footwear,2,4500,UPI,Returned
TXN100087,17-02-2025,CUST1763,Advika Brar,Female,52,Mumbai,Maharashtra,Adidas T-Shirt,Fashion,Clothing,5,1800,Cash,Cancelled
TXN100088,2025/09/05,CUST1563,Baiju Bahl,Female,46,Mumbai,Maharashtra,iPhone 14,Electronics,Mobile,4,65000,UPI,Delivered
TXN100089,07-06-2025,CUST1202,Manikya Dutt,Female,27,Delhi,Delhi,HP Laptop,Electronics,Laptop,4,72000,Cash,Delivered
TXN100090,29-07-2025,CUST1914,Nayantara Rajagopal,Male,59,Hyderabad,Telangana,HP Laptop,Electronics,Laptop,4,72000,Debit Card,Returned
TXN100091,2025/03/27,CUST1486,Nirvi Basak,Male,47,Delhi,Delhi,Samsung Galaxy S22,Electronics,Mobile,5,58000,Debit Card,Returned
TXN100092,09-03-2025,CUST1700,Uthkarsh Kale,Male,53,Hyderabad,Telangana,iPhone 14,Electronics,Mobile,3,65000,Cash,Delivered
TXN100093,2025/02/08,CUST1139,Divyansh Dixit,Female,46,Chennai,Tamil Nadu,iPhone 14,Electronics,Mobile,4,65000,Cash,Cancelled
TXN100094,14-01-2025,CUST1911,Navya Aggarwal,Female,19,Bengaluru,Karnataka,Adidas T-Shirt,Fashion,Clothing,4,1800,Debit Card,Returned
TXN100095,2025/11/04,CUST1379,Aarna Jani,Female,26,Hyderabad,Telangana,HP Laptop,Electronics,Laptop,1,72000,Credit Card,Cancelled
TXN100096,2025/06/29,CUST1661,Kartik Zachariah,Male,42,Pune,Maharashtra,iPhone 14,Electronics,Mobile,3,65000,Debit Card,Returned
TXN100097,25-05-2025,CUST1754,Akarsh Garg,Female,39,Bengaluru,Karnataka,HP Laptop,Electronics,Laptop,4,72000,Debit Card,Cancelled
TXN100098,28-10-2025,CUST1175,Amani Bumb,Female,28,Chennai,Tamil Nadu,Adidas T-Shirt,Fashion,Clothing,3,1800,Cash,Delivered
TXN100099,2025/02/26,CUST1329,Akarsh Mand,Female,46,Hyderabad,Telangana,iPhone 14,Electronics,Mobile,4,65000,Debit Card,Returned
TXN100100,2026/01/04,CUST1641,Prerak Dora,Female,33,Pune,Maharashtra,Wooden Table,Furniture,Table,5,12000,Cash,Delivered
TXN100101,2025/12/05,CUST1362,Nirvi Sastry,Female,60,Mumbai,Maharashtra,Wooden Table,Furniture,Table,1,12000,Debit Card,Delivered
TXN100102,2025/09/03,CUST1392,Damini Bhatt,Female,33,Delhi,Delhi,iPhone 14,Electronics,Mobile,4,65000,Credit Card,Cancelled
TXN100103,2025/04/04,CUST1497,Raunak Chanda,Female,21,Hyderabad,Telangana,Sony Headphones,Electronics,Accessories,4,5000,Debit Card,Delivered
TXN100104,2025/03/10,CUST1302,Saksham Saha,Male,41,Bengaluru,Karnataka,iPhone 14,Electronics,Mobile,1,65000,UPI,Returned
TXN100105,2025/12/13,CUST1857,Purab Sami,Female,54,Kolkata,West Bengal,Wooden Table,Furniture,Table,5,12000,Debit Card,Delivered
TXN100106,15-12-2025,CUST1164,Indranil Vasa,Female,54,Kolkata,West Bengal,Wooden Table,Furniture,Table,2,12000,Credit Card,Returned
TXN100107,18-03-2025,CUST1775,Advika Bajwa,Female,48,Delhi,Delhi,Adidas T-Shirt,Fashion,Clothing,4,1800,UPI,Cancelled
TXN100108,2025/10/11,CUST1019,Vanya Subramanian,Female,34,Pune,Maharashtra,Wooden Table,Furniture,Table,5,12000,Credit Card,Cancelled
TXN100109,2025/01/18,CUST1240,Ivan Kibe,Female,47,Mumbai,Maharashtra,Sony Headphones,Electronics,Accessories,2,5000,Debit Card,Cancelled
TXN100110,03-07-2025,CUST1388,Zara Madan,Female,34,Pune,Maharashtra,iPhone 14,Electronics,Mobile,5,65000,UPI,Delivered
TXN100111,23-03-2025,CUST1331,Prerak Wadhwa,Female,54,Kolkata,West Bengal,iPhone 14,Electronics,Mobile,5,65000,UPI,Cancelled
TXN100112,11-06-2025,CUST1493,Jivin Karnik,Male,57,Hyderabad,Telangana,iPhone 14,Electronics,Mobile,3,65000,Debit Card,Cancelled
TXN100113,26-02-2025,CUST1800,Hansh Bali,Female,53,Pune,Maharashtra,Sony Headphones,Electronics,Accessories,5,5000,Credit Card,Cancelled
TXN100114,13-07-2025,CUST1432,Riaan Gill,Male,37,Bengaluru,Karnataka,Samsung Galaxy S22,Electronics,Mobile,1,58000,Debit Card,Cancelled
TXN100115,30-06-2025,CUST1103,Dishani Balakrishnan,Male,21,Bengaluru,Karnataka,Sony Headphones,Electronics,Accessories,3,5000,Credit Card,Delivered
TXN100116,09-01-2025,CUST1222,Onkar Korpal,Female,26,Chennai,Tamil Nadu,iPhone 14,Electronics,Mobile,3,65000,Cash,Delivered
TXN100117,13-04-2025,CUST1345,Himmat Buch,Male,59,Chennai,Tamil Nadu,HP Laptop,Electronics,Laptop,1,72000,Cash,Delivered
TXN100118,2025/08/29,CUST1378,Damini Mammen,Male,45,Hyderabad,Telangana,Sony Headphones,Electronics,Accessories,2,5000,Debit Card,Cancelled
TXN100119,2025/11/04,CUST1733,Trisha Bawa,Male,44,Chennai,Tamil Nadu,Wooden Table,Furniture,Table,3,12000,Cash,Returned
TXN100120,2025/07/13,CUST1341,Sumer Thaman,Male,29,Bengaluru,Karnataka,iPhone 14,Electronics,Mobile,2,65000,Cash,Delivered
TXN100121,01-01-2026,CUST1579,Madhav Dugal,Female,58,Pune,Maharashtra,Samsung Galaxy S22,Electronics,Mobile,2,58000,Debit Card,Returned
TXN100122,18-10-2025,CUST1629,Advika Baria,Female,20,Bengaluru,Karnataka,Wooden Table,Furniture,Table,2,12000,Credit Card,Returned
TXN100123,03-09-2025,CUST1563,Gokul Guha,Female,50,Kolkata,West Bengal,Adidas T-Shirt,Fashion,Clothing,3,1800,UPI,Returned
TXN100124,2025/09/24,CUST1719,Ishita Behl,Male,20,Kolkata,West Bengal,Wooden Table,Furniture,Table,5,12000,UPI,Cancelled
TXN100125,2025/02/11,CUST1023,Suhana Upadhyay,Male,42,Delhi,Delhi,Nike Shoes,Fashion,Footwear,4,4500,Credit Card,Delivered
TXN100126,2025/07/31,CUST1932,Mannat Barad,Female,24,Pune,Maharashtra,HP Laptop,Electronics,Laptop,3,72000,Credit Card,Returned
TXN100127,20-04-2025,CUST1212,Aayush Cheema,Male,40,Mumbai,Maharashtra,Wooden Table,Furniture,Table,3,12000,UPI,Cancelled
TXN100128,01-08-2025,CUST1643,Zeeshan Tata,Male,18,Delhi,Delhi,Sony Headphones,Electronics,Accessories,4,5000,Cash,Delivered
TXN100129,31-01-2025,CUST1018,Advika Ganguly,Male,23,Bengaluru,Karnataka,Samsung Galaxy S22,Electronics,Mobile,5,58000,UPI,Cancelled
TXN100130,11-08-2025,CUST1404,Abram Jain,Male,34,Chennai,Tamil Nadu,Adidas T-Shirt,Fashion,Clothing,3,1800,Cash,Delivered
TXN100131,02-03-2025,CUST1816,Nayantara Sanghvi,Female,45,Hyderabad,Telangana,Sony Headphones,Electronics,Accessories,2,5000,UPI,Returned
TXN100132,19-09-2025,CUST1164,Yuvaan Brar,Female,26,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,3,4500,Credit Card,Delivered
TXN100133,02-01-2026,CUST1434,Tiya Kamdar,Female,37,Pune,Maharashtra,Samsung Galaxy S22,Electronics,Mobile,2,58000,UPI,Cancelled
TXN100134,19-09-2025,CUST1556,Vritika Joshi,Female,33,Bengaluru,Karnataka,Nike Shoes,Fashion,Footwear,2,4500,Debit Card,Cancelled
TXN100135,2025/10/20,CUST1611,Krish Dubey,Male,47,Chennai,Tamil Nadu,iPhone 14,Electronics,Mobile,1,65000,Cash,Returned
TXN100136,26-01-2025,CUST1091,Suhana Chana,Male,43,Pune,Maharashtra,Wooden Table,Furniture,Table,4,12000,Debit Card,Returned
TXN100137,2025/02/21,CUST1913,Ishaan Mangat,Female,51,Delhi,Delhi,Sony Headphones,Electronics,Accessories,3,5000,Debit Card,Cancelled
TXN100138,05-09-2025,CUST1640,Shanaya Deshpande,Male,43,Mumbai,Maharashtra,iPhone 14,Electronics,Mobile,4,65000,Credit Card,Returned
TXN100139,2025/09/26,CUST1772,Charvi Soni,Male,30,Chennai,Tamil Nadu,Sony Headphones,Electronics,Accessories,3,5000,Cash,Returned
TXN100140,2025/07/03,CUST1564,Dhanuk Chandra,Female,51,Hyderabad,Telangana,Samsung Galaxy S22,Electronics,Mobile,4,58000,Credit Card,Cancelled
TXN100141,04-04-2025,CUST1404,Samiha Mani,Male,24,Kolkata,West Bengal,Adidas T-Shirt,Fashion,Clothing,2,1800,Cash,Returned
TXN100142,28-03-2025,CUST1179,Ivan Rout,Female,32,Delhi,Delhi,iPhone 14,Electronics,Mobile,1,65000,UPI,Returned
TXN100143,2026/01/03,CUST1470,Dishani Yadav,Female,54,Delhi,Delhi,Adidas T-Shirt,Fashion,Clothing,5,1800,Debit Card,Cancelled
TXN100144,2025/04/11,CUST1889,Sara Sane,Female,54,Delhi,Delhi,Samsung Galaxy S22,Electronics,Mobile,1,58000,Debit Card,Cancelled
TXN100145,21-10-2025,CUST1358,Alisha Sahota,Female,53,Bengaluru,Karnataka,iPhone 14,Electronics,Mobile,2,65000,Debit Card,Delivered
TXN100146,12-03-2025,CUST1441,Ivan Balay,Female,22,Chennai,Tamil Nadu,Wooden Table,Furniture,Table,3,12000,Debit Card,Returned
TXN100147,2025/04/06,CUST1109,Divij Mander,Female,53,Mumbai,Maharashtra,HP Laptop,Electronics,Laptop,5,72000,Debit Card,Returned
TXN100148,2025/04/26,CUST1075,Mishti Sabharwal,Male,19,Kolkata,West Bengal,Nike Shoes,Fashion,Footwear,1,4500,UPI,Cancelled
TXN100149,17-03-2025,CUST1728,Mamooty Wadhwa,Male,54,Delhi,Delhi,Samsung Galaxy S22,Electronics,Mobile,1,58000,Cash,Delivered
TXN100150,11-06-2025,CUST1918,Shray Hora,Female,22,Delhi,Delhi,Nike Shoes,Fashion,Footwear,1,4500,Cash,Cancelled
TXN100151,06-08-2025,CUST1425,Emir Mangat,Female,25,Bengaluru,Karnataka,Sony Headphones,Electronics,Accessories,3,5000,Credit Card,Cancelled
TXN100152,2025/03/07,CUST1483,Samarth Khatri,Male,35,Hyderabad,Telangana,Adidas T-Shirt,Fashion,Clothing,5,1800,UPI,Returned
TXN100153,2025/09/21,CUST1452,Sana Jayaraman,Male,24,Delhi,Delhi,Nike Shoes,Fashion,Footwear,4,4500,UPI,Cancelled
TXN100154,2025/06/04,CUST1470,Hunar Dhar,Female,38,Mumbai,Maharashtra,Nike Shoes,Fashion,Footwear,2,4500,UPI,Returned
TXN100155,16-06-2025,CUST1988,Farhan Keer,Male,55,Pune,Maharashtra,iPhone 14,Electronics,Mobile,5,65000,Cash,Delivered
TXN100156,2025/05/12,CUST1257,Lakshay Rastogi,Male,31,Pune,Maharashtra,Nike Shoes,Fashion,Footwear,5,4500,Credit Card,Cancelled
TXN100157,05-07-2025,CUST1161,Riaan Loyal,Male,35,Chennai,Tamil Nadu,Sony Headphones,Electronics,Accessories,4,5000,Credit Card,Cancelled
TXN100158,01-06-2025,CUST1258,Sahil Baria,Male,56,Mumbai,Maharashtra,Nike Shoes,Fashion,Footwear,2,4500,Debit Card,Delivered
TXN100159,2025/11/23,CUST1626,Akarsh Subramaniam,Female,21,Hyderabad,Telangana,Adidas T-Shirt,Fashion,Clothing,3,1800,UPI,Cancelled
TXN100160,06-08-2025,CUST1970,Oorja Upadhyay,Female,23,Bengaluru,Karnataka,Samsung Galaxy S22,Electronics,Mobile,2,58000,Credit Card,Returned
TXN100161,17-01-2025,CUST1915,Advika Kala,Male,23,Hyderabad,Telangana,Samsung Galaxy S22,Electronics,Mobile,2,58000,Cash,Delivered
TXN100162,2025/06/22,CUST1233,Kanav Upadhyay,Male,26,Chennai,Tamil Nadu,Samsung Galaxy S22,Electronics,Mobile,4,58000,Debit Card,Delivered
TXN100163,09-10-2025,CUST1343,Madhup Chad,Female,23,Mumbai,Maharashtra,Samsung Galaxy S22,Electronics,Mobile,5,58000,Credit Card,Cancelled
TXN100164,2025/11/20,CUST1674,Seher Rajagopalan,Female,22,Mumbai,Maharashtra,Wooden Table,Furniture,Table,3,12000,UPI,Returned
TXN100165,2025/04/13,CUST1902,Nishith Chandra,Female,36,Pune,Maharashtra,Wooden Table,Furniture,Table,3,12000,Debit Card,Delivered
TXN100166,2025/02/25,CUST1126,Shamik Kapadia,Male,27,Bengaluru,Karnataka,Adidas T-Shirt,Fashion,Clothing,1,1800,UPI,Returned
TXN100167,26-05-2025,CUST1403,Seher Bansal,Female,43,Mumbai,Maharashtra,Sony Headphones,Electronics,Accessories,5,5000,Cash,Returned
TXN100168,26-07-2025,CUST1713,Abram Suresh,Male,29,Bengaluru,Karnataka,Sony Headphones,Electronics,Accessories,4,5000,Debit Card,Cancelled
TXN100169,2025/05/27,CUST1645,Ishaan Kata,Female,59,Mumbai,Maharashtra,Nike Shoes,Fashion,Footwear,3,4500,UPI,Cancelled
TXN100170,2025/01/04,CUST1902,Kiara Salvi,Female,33,Mumbai,Maharashtra,HP Laptop,Electronics,Laptop,5,72000,Debit Card,Delivered
TXN100171,21-10-2025,CUST1615,Anahita Bhatnagar,Male,21,Kolkata,West Bengal,Nike Shoes,Fashion,Footwear,3,4500,Credit Card,Returned
TXN100172,21-09-2025,CUST1621,Zeeshan Wali,Male,45,Chennai,Tamil Nadu,Wooden Table,Furniture,Table,1,12000,UPI,Returned
TXN100173,12-12-2025,CUST1952,Sana Mane,Male,22,Delhi,Delhi,iPhone 14,Electronics,Mobile,1,65000,Credit Card,Delivered
TXN100174,16-05-2025,CUST1334,Mohanlal Sankar,Male,28,Pune,Maharashtra,Nike Shoes,Fashion,Footwear,2,4500,Credit Card,Delivered
TXN100175,2025/06/28,CUST1620,Vaibhav Dada,Female,55,Chennai,Tamil Nadu,Adidas T-Shirt,Fashion,Clothing,2,1800,UPI,Cancelled
TXN100176,2025/05/29,CUST1624,Dhruv Datta,Male,51,Pune,Maharashtra,Wooden Table,Furniture,Table,1,12000,Credit Card,Cancelled
